GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,com.syos.application.dto.mapper,AllocationMapper,10,0,0,0,2,0,2,0,2,0
JaCoCo Coverage Report,com.syos.domain.command.allocation,AllocateToWebCommand,0,67,0,2,0,20,0,3,0,2
JaCoCo Coverage Report,com.syos.domain.command.allocation,AllocateToShelfCommand,0,76,0,4,0,19,0,4,0,2
JaCoCo Coverage Report,com.syos.application.reports.template,ReportTemplate,0,14,0,0,0,6,0,3,0,3
JaCoCo Coverage Report,com.syos.domain.strategy.stockselection,FEFOStockSelectionStrategy,1,67,1,7,0,18,1,5,0,2
JaCoCo Coverage Report,com.syos.interfaces.cli.utils,EntryMenuFormatter,69,0,2,0,15,0,5,0,4,0
JaCoCo Coverage Report,com.syos.interfaces.cli.utils,StockStockCliFormatter,124,0,8,0,24,0,10,0,6,0
JaCoCo Coverage Report,com.syos.interfaces.cli.utils,BillReceiptFormatter,214,0,6,0,36,0,7,0,4,0
JaCoCo Coverage Report,com.syos.interfaces.cli.utils,BillSerialFormatter,21,0,0,0,4,0,2,0,2,0
JaCoCo Coverage Report,com.syos.interfaces.cli.utils,WebProductCliFormatter,82,0,4,0,16,0,7,0,5,0
JaCoCo Coverage Report,com.syos.interfaces.cli.utils,ProductCliFormatter,70,0,4,0,17,0,6,0,4,0
JaCoCo Coverage Report,com.syos.interfaces.cli,AuthenticationCLI,140,0,4,0,39,0,8,0,6,0
JaCoCo Coverage Report,com.syos.interfaces.cli,ProductCLI,296,0,18,0,92,0,17,0,6,0
JaCoCo Coverage Report,com.syos.interfaces.cli,BusinessDayCLI,75,0,4,0,26,0,5,0,2,0
JaCoCo Coverage Report,com.syos.interfaces.cli,BillingCLI,406,0,28,0,134,0,20,0,5,0
JaCoCo Coverage Report,com.syos.interfaces.cli,CLISessionController,223,0,18,0,52,0,17,0,4,0
JaCoCo Coverage Report,com.syos.interfaces.cli,ApplicationBuilder,160,0,0,0,26,0,2,0,2,0
JaCoCo Coverage Report,com.syos.interfaces.cli,WebInventoryCLI,197,0,11,0,62,0,12,0,5,0
JaCoCo Coverage Report,com.syos.interfaces.cli,ReportCLI,137,0,15,0,49,0,16,0,5,0
JaCoCo Coverage Report,com.syos.interfaces.cli,ShelfCLI,234,0,10,0,66,0,10,0,4,0
JaCoCo Coverage Report,com.syos.interfaces.cli,StoreStockCLI,141,0,6,0,51,0,8,0,4,0
JaCoCo Coverage Report,com.syos.interfaces.cli.presenter,BillPresenter,6,0,0,0,3,0,1,0,1,0
JaCoCo Coverage Report,com.syos.utils,CurrentUserUtil,78,0,20,0,23,0,18,0,8,0
JaCoCo Coverage Report,com.syos.utils,SessionManager,27,22,4,2,7,9,7,4,5,3
JaCoCo Coverage Report,com.syos.utils,SQLTransactionManager,9,37,1,3,2,11,2,2,1,1
JaCoCo Coverage Report,com.syos.utils,DBConnection,3,5,0,0,1,1,1,1,1,1
JaCoCo Coverage Report,com.syos.application.dto.request,CustomerLoginRequest,0,15,0,0,0,6,0,3,0,3
JaCoCo Coverage Report,com.syos.application.dto.request,BusinessDayLogRequest,11,22,1,3,5,6,4,4,3,3
JaCoCo Coverage Report,com.syos.application.dto.request,CreateWebInventoryRequest,24,0,0,0,10,0,7,0,7,0
JaCoCo Coverage Report,com.syos.application.dto.request,CreateStockRequest,0,27,0,0,0,10,0,5,0,5
JaCoCo Coverage Report,com.syos.application.dto.request,EmployeeLoginRequest,0,15,0,0,0,6,0,3,0,3
JaCoCo Coverage Report,com.syos.application.dto.request,CreateProductRequest,19,27,0,0,9,10,5,5,5,5
JaCoCo Coverage Report,com.syos.application.dto.request,BillItemRequest,21,12,0,0,9,5,6,1,6,1
JaCoCo Coverage Report,com.syos.application.dto.request,FindBillRequest,26,0,0,0,12,0,6,0,6,0
JaCoCo Coverage Report,com.syos.application.dto.request,CustomerSignupRequest,27,39,0,0,14,14,7,7,7,7
JaCoCo Coverage Report,com.syos.application.dto.request,CreateShelfRequest,16,27,0,0,8,10,4,5,4,5
